index,datetime,consecutive,weekend,holiday
0,2023-04-01 14:00:00,2,1,2
1,2023-04-04 18:30:00,3,0,0
45,2023-04-07 18:30:00,3,1,2
91,2023-04-11 18:30:00,3,0,0
2,2023-04-14 18:30:00,3,1,2
26,2023-04-18 18:30:00,3,0,0
3,2023-04-21 18:30:00,3,1,2
27,2023-04-25 18:30:00,3,0,0
4,2023-04-28 18:30:00,3,1,2
5,2023-05-02 18:30:00,3,0,0
28,2023-05-05 14:00:00,3,1,4
50,2023-05-09 18:30:00,3,0,0
6,2023-05-12 18:30:00,3,1,2
30,2023-05-16 18:30:00,3,0,0
52,2023-05-19 18:30:00,3,1,2
7,2023-05-23 18:30:00,3,0,0
31,2023-05-26 18:30:00,3,1,2
8,2023-05-30 18:30:00,3,0,0
9,2023-06-02 18:30:00,3,1,2
32,2023-06-06 17:00:00,3,0,1
77,2023-06-09 18:30:00,3,1,2
10,2023-06-13 18:30:00,3,0,0
11,2023-06-16 18:30:00,3,1,2
79,2023-06-20 18:30:00,3,0,0
12,2023-06-23 18:30:00,3,1,2
13,2023-06-27 18:30:00,3,0,0
35,2023-06-30 18:30:00,3,1,2
14,2023-07-04 18:30:00,3,0,0
81,2023-07-07 18:30:00,3,1,2
15,2023-07-11 18:30:00,3,0,0
61,2023-07-21 18:30:00,3,1,2
38,2023-07-25 18:30:00,3,0,0
16,2023-07-28 18:30:00,3,1,2
62,2023-08-01 18:30:00,3,0,0
106,2023-08-04 18:30:00,3,1,2
17,2023-08-08 18:30:00,3,0,0
18,2023-08-11 18:30:00,3,1,2
108,2023-08-15 17:00:00,3,0,1
19,2023-08-18 18:30:00,3,1,2
20,2023-08-22 18:30:00,3,0,0
109,2023-08-25 18:30:00,3,1,2
21,2023-08-29 18:30:00,3,0,0
22,2023-09-01 18:30:00,3,1,2
88,2023-09-05 18:30:00,3,0,0
44,2023-09-08 18:30:00,3,1,2
